"","ï..Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","Q21A","Extraversion","Agreeableness","Conscientiousness","Emotional","Openness"
"ï..Q1A",0,0.0147070293389567,0.0543417725369811,0.0413852286009825,0.047788445517501,0.0806013064641202,0.0177364389766256,0.227027986932671,0,0,0.107108138602964,0.0448044282638177,0.0834003851799746,0.103941315823178,0.0376345553429198,0.0533398111836072,0.00643083808228101,0.0393536321351852,0.0271880274371019,0.00139830921450904,0.0269149467582182,0.0180555519096942,-0.0103636972321728,0.022182483950957,-0.0340018994538553,0.0187391116408772
"Q2A",0.0147070293389567,0,0,0.0955623148804622,0.0184087807755356,0.0112068380347969,0.121599965126989,0.00326097044310567,0.0495610683437697,0,0,0,0.0317765555141489,0.06072082531139,0,0.0177301456778198,0.00802822375789103,0.0569181321004509,0.0717407803822492,0.0275087024587092,0,0,-0.0165860466577859,0,0.0187640813309586,0
"Q3A",0.0543417725369811,0,0,0,0.0362117656962021,0.0137219036911676,-0.0106343554524087,0.081063727340931,-0.0124123581677877,0.153425075745521,0.0225248395412409,0,0.112726056267128,0.0386491614527259,0,0.215464421602596,0.0573844714749034,0,-0.00490406256846524,0.0310623690883703,0.161489227706997,-0.0211658756357285,-0.00659632256556731,0,-0.0200478834252381,-0.0153752156668605
"Q4A",0.0413852286009825,0.0955623148804622,0,0,0,0,0.210074956352453,0.050389667024475,0,0,0.0129463694132683,0.0136474081347532,0.0182516225088526,0.0164982701341054,0.123990182345631,0.00474595394583439,0,0,0.347943282296738,0.0288478917046624,0.0132727635210776,0,0,0,0,0.00583714533308973
"Q5A",0.047788445517501,0.0184087807755356,0.0362117656962021,0,0,0.00296251811302379,0,0.0489984937159212,0.00634203366476885,0.107137894632431,0.0704847537530826,0.0633518304745381,0.0738487771989964,0.0759274167842304,0,0.202992900184236,0.0123641085557712,0.00726652022726005,0,0,0,-0.0462390795639388,0.0272847722918576,-0.114828740359995,0,0
"Q6A",0.0806013064641202,0.0112068380347969,0.0137219036911676,0,0.00296251811302379,0,0,0.0785737326131093,0.101822292634191,-0.00118602887345045,0.0738726575535584,0.0324369630378112,0,0.128248969539942,0.0492337958167195,-0.0125666412453376,0.0334912975598828,0.143953574935896,0,0.0302757347220347,0,0.0907144803592767,-0.0264658187838414,0,-0.175815816244894,0
"Q7A",0.0177364389766256,0.121599965126989,-0.0106343554524087,0.210074956352453,0,0,0,0.000454364699377871,0.059246004701199,0,0.0335403350098292,0.0952529239752614,0,0.0111821037284214,0.0742786893237213,0,0.00150548942360535,0,0.152099404443601,0.0674929547726059,0.00099978562130964,0,0,0,0,0
"Q8A",0.227027986932671,0.00326097044310567,0.081063727340931,0.050389667024475,0.0489984937159212,0.0785737326131093,0.000454364699377871,0,0,0,0.0933089381030674,0.142647838047057,0.0431684919850979,0.0465203644881889,0.0997516080892597,0,0,0,0.010052075269684,0.0521894077805953,0,0,0,0.020442630550669,-0.090788518698656,0.0136035041954833
"Q9A",0,0.0495610683437697,-0.0124123581677877,0,0.00634203366476885,0.101822292634191,0.059246004701199,0,0,0,0.026322957250656,0.108408157939515,0,0.0509029946699313,0.187771930254972,0,0.0931363260863529,0.0185346908902628,0.0307202500661517,0.174704963121245,-0.00489330253025826,-0.0367833097986094,0.035724283586966,-0.02499277390469,-0.0247021093174911,-0.0277418161045294
"Q10A",0,0,0.153425075745521,0,0.107137894632431,-0.00118602887345045,0,0,0,0,0,0,0.0723944283690188,0.0195679045156088,-0.0160822780936402,0.165018175067479,0.171440431151265,0,0,0.0354124075630249,0.302212105453808,-0.0104315194056832,0.00546221967417468,0,0.0113460826989534,-0.0326061077775169
"Q11A",0.107108138602964,0,0.0225248395412409,0.0129463694132683,0.0704847537530826,0.0738726575535584,0.0335403350098292,0.0933089381030674,0.026322957250656,0,0,0.0718392759248677,0.105157334874241,0.110288298821323,0.0505960593787346,0.0627892617626038,0,0.0829755093706317,0.0253340941541802,0.014499155197154,0.00647918320093824,0,-0.0139571293932231,0.0262621625148367,-0.0480498190770261,0.0264596276899408
"Q12A",0.0448044282638177,0,0,0.0136474081347532,0.0633518304745381,0.0324369630378112,0.0952529239752614,0.142647838047057,0.108408157939515,0,0.0718392759248677,0,0.00823561416901026,0.0155977868028434,0.238560208278029,0,-0.00969637194490218,0.00940275616723802,0.0886703641630577,0.111667129813363,-0.0149774426337993,-0.017394339793988,0.0213668335532249,0,-0.0330300395571474,0
"Q13A",0.0834003851799746,0.0317765555141489,0.112726056267128,0.0182516225088526,0.0738487771989964,0,0,0.0431684919850979,0,0.0723944283690188,0.105157334874241,0.00823561416901026,0,0,0,0.099332665216191,0.135164425365399,0.108025054223799,0.00638043195599536,0.041425617587817,0.103726974173344,0,0.0409842254225984,0.00528451613374481,-0.0390036620165173,0.0295819373715312
"Q14A",0.103941315823178,0.06072082531139,0.0386491614527259,0.0164982701341054,0.0759274167842304,0.128248969539942,0.0111821037284214,0.0465203644881889,0.0509029946699313,0.0195679045156088,0.110288298821323,0.0155977868028434,0,0,0.00142595781080964,0.0653459215007374,0.0107095423540206,0.0793365962772022,0,0.00504325798221927,0.00310497443388031,0.0124373952713325,-0.0658043797395424,0.0156129950289959,0,0
"Q15A",0.0376345553429198,0,0,0.123990182345631,0,0.0492337958167195,0.0742786893237213,0.0997516080892597,0.187771930254972,-0.0160822780936402,0.0505960593787346,0.238560208278029,0,0.00142595781080964,0,0,0,0,0.0682978663979095,0.150467943702121,0,0.0108527275549986,0.00690547358558419,0,-0.0431417744012678,0
"Q16A",0.0533398111836072,0.0177301456778198,0.215464421602596,0.00474595394583439,0.202992900184236,-0.0125666412453376,0,0,0,0.165018175067479,0.0627892617626038,0,0.099332665216191,0.0653459215007374,0,0,0.00714505310299641,0.00836423411672571,0,0.0126722868363601,0.0489979435272213,-0.0682855663364229,0,0,0.0103430778484378,-0.00616442867343238
"Q17A",0.00643083808228101,0.00802822375789103,0.0573844714749034,0,0.0123641085557712,0.0334912975598828,0.00150548942360535,0,0.0931363260863529,0.171440431151265,0,-0.00969637194490218,0.135164425365399,0.0107095423540206,0,0.00714505310299641,0,0.0496517966641399,-0.00738220228308129,0.0595879391618704,0.379560919447919,-0.0389306145533089,0.00497915475261457,-0.0535816141535951,-0.0353973010923988,0
"Q18A",0.0393536321351852,0.0569181321004509,0,0,0.00726652022726005,0.143953574935896,0,0,0.0185346908902628,0,0.0829755093706317,0.00940275616723802,0.108025054223799,0.0793365962772022,0,0.00836423411672571,0.0496517966641399,0,0.0228571340350906,0.0260077378958931,0,0.0186023619150996,0,0,-0.040820781847897,-0.00468424432707661
"Q19A",0.0271880274371019,0.0717407803822492,-0.00490406256846524,0.347943282296738,0,0,0.152099404443601,0.010052075269684,0.0307202500661517,0,0.0253340941541802,0.0886703641630577,0.00638043195599536,0,0.0682978663979095,0,-0.00738220228308129,0.0228571340350906,0,0.0497594188910558,0,0,0,0,0,0.0144191409592159
"Q20A",0.00139830921450904,0.0275087024587092,0.0310623690883703,0.0288478917046624,0,0.0302757347220347,0.0674929547726059,0.0521894077805953,0.174704963121245,0.0354124075630249,0.014499155197154,0.111667129813363,0.041425617587817,0.00504325798221927,0.150467943702121,0.0126722868363601,0.0595879391618704,0.0260077378958931,0.0497594188910558,0,0.0250510241925899,0,0.0105510962880784,-0.005463229454887,-0.037333183356718,-0.0127798953703743
"Q21A",0.0269149467582182,0,0.161489227706997,0.0132727635210776,0,0,0.00099978562130964,0,-0.00489330253025826,0.302212105453808,0.00647918320093824,-0.0149774426337993,0.103726974173344,0.00310497443388031,0,0.0489979435272213,0.379560919447919,0,0,0.0250510241925899,0,-0.000704727568332921,-0.016144693498185,0,-0.0212198484520903,-0.00754585376381387
"Extraversion",0.0180555519096942,0,-0.0211658756357285,0,-0.0462390795639388,0.0907144803592767,0,0,-0.0367833097986094,-0.0104315194056832,0,-0.017394339793988,0,0.0124373952713325,0.0108527275549986,-0.0682855663364229,-0.0389306145533089,0.0186023619150996,0,0,-0.000704727568332921,0,-0.0623273357913356,0.0270881830275352,0.0916077531227197,0.243747956463915
"Agreeableness",-0.0103636972321728,-0.0165860466577859,-0.00659632256556731,0,0.0272847722918576,-0.0264658187838414,0,0,0.035724283586966,0.00546221967417468,-0.0139571293932231,0.0213668335532249,0.0409842254225984,-0.0658043797395424,0.00690547358558419,0,0.00497915475261457,0,0,0.0105510962880784,-0.016144693498185,-0.0623273357913356,0,0.100054902509684,0.18431385016312,0.152190067247838
"Conscientiousness",0.022182483950957,0,0,0,-0.114828740359995,0,0,0.020442630550669,-0.02499277390469,0,0.0262621625148367,0,0.00528451613374481,0.0156129950289959,0,0,-0.0535816141535951,0,0,-0.005463229454887,0,0.0270881830275352,0.100054902509684,0,0.123784646091627,0.222593108145016
"Emotional",-0.0340018994538553,0.0187640813309586,-0.0200478834252381,0,0,-0.175815816244894,0,-0.090788518698656,-0.0247021093174911,0.0113460826989534,-0.0480498190770261,-0.0330300395571474,-0.0390036620165173,0,-0.0431417744012678,0.0103430778484378,-0.0353973010923988,-0.040820781847897,0,-0.037333183356718,-0.0212198484520903,0.0916077531227197,0.18431385016312,0.123784646091627,0,0.0992657466199021
"Openness",0.0187391116408772,0,-0.0153752156668605,0.00583714533308973,0,0,0,0.0136035041954833,-0.0277418161045294,-0.0326061077775169,0.0264596276899408,0,0.0295819373715312,0,0,-0.00616442867343238,0,-0.00468424432707661,0.0144191409592159,-0.0127798953703743,-0.00754585376381387,0.243747956463915,0.152190067247838,0.222593108145016,0.0992657466199021,0
